idx	fname	ts	tier	start	end	duration	note	offset_start	offset_end	fto	overlap_w	overlap_b	overlap	overlap_time	gap_time	talk_time	event
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:11:39	2022-11-25 11:11:41	2.0	osoba1				False	False	False			2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:11:41	2022-11-25 11:11:43	2.0	osoba2	2.0	2.0	0.0	False	False	False		0.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:11:54	2022-11-25 11:11:55	1.0	osoba1	13.0	12.0	11.0	False	False	False		11.0	1.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:11:57	2022-11-25 11:11:59	2.0	osoba2	3.0	4.0	2.0	False	False	False		2.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:12:22	2022-11-25 11:12:30	8.0	osoba1	25.0	31.0	23.0	False	False	False		23.0	8.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:12:36	2022-11-25 11:12:38	2.0	osoba1	14.0	8.0	6.0	False	False	False		6.0	2.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:12:38	2022-11-25 11:12:42	4.0	osoba2	2.0	4.0	0.0	False	False	False		0.0	4.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:12:44	2022-11-25 11:12:45	1.0	osoba2	6.0	3.0	2.0	False	False	False		2.0	1.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:12:47	2022-11-25 11:12:48	1.0	osoba2	3.0	3.0	2.0	False	False	False		2.0	1.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:12:50	2022-11-25 11:12:53	3.0	osoba2	3.0	5.0	2.0	False	False	False		2.0	3.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:13:04	2022-11-25 11:13:07	3.0	osoba1	14.0	14.0	11.0	False	False	False		11.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:13:10	2022-11-25 11:13:13	3.0	osoba1	6.0	6.0	3.0	False	False	False		3.0	3.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:13	2022-11-25 11:13:16	3.0	osoba2	3.0	3.0	0.0	False	False	False		0.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:13:16	2022-11-25 11:13:18	2.0	osoba1	3.0	2.0	0.0	False	False	False		0.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:18	2022-11-25 11:13:21	3.0	osoba2	2.0	3.0	0.0	False	False	False		0.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:44	2022-11-25 11:13:47	3.0	osoba2	26.0	26.0	23.0	False	False	False		23.0	3.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:59	2022-11-25 11:14:02	3.0	osoba2	15.0	15.0	12.0	False	False	False		12.0	3.0	continuation
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:14:02	2022-11-25 11:14:08	6.0	osoba1	3.0	6.0	0.0	False	False	False		0.0	6.0	statement
