default,,0:00:00,0,00:00:01,1,00:00:01,1,BEGIN
default,,0:23:44,0,00:23:45,1,00:00:01,1,END
Moderator,,0:00:00,0,0:00:39,39,0:00:39,39,Moderator
osoba1,,0:00:39,39,0:00:41,41,0:00:02,2,osoba1
osoba2,,0:00:41,41,0:00:43,43,0:00:01,1,osoba2
Moderator,,0:00:43,43,0:00:54,54,0:00:10,10,Moderator
osoba1,,0:00:54,54,0:00:55,55,0:00:01,1,osoba1
Moderator,,0:00:55,55,0:00:57,57,0:00:01,1,Moderator
osoba2,,0:00:57,57,0:00:59,59,0:00:02,2,osoba2
Moderator,,0:00:59,59,0:01:22,82,0:00:23,23,Moderator
osoba1,,0:01:22,82,0:01:30,90,0:00:07,7,osoba1
Moderator,,0:01:30,90,0:01:36,96,0:00:06,6,Moderator
osoba1,,0:01:36,96,0:01:38,98,0:00:02,2,osoba1
osoba2,,0:01:38,98,0:01:42,102,0:00:03,3,osoba2
Moderator,,0:01:42,102,0:01:44,104,0:00:02,2,Moderator
osoba2,,0:01:44,104,0:01:45,105,0:00:01,1,osoba2
Moderator,,0:01:45,105,0:01:47,107,0:00:02,2,Moderator
osoba2,,0:01:47,107,0:01:48,108,0:00:01,1,osoba2
Moderator,,0:01:48,108,0:01:50,110,0:00:02,2,Moderator
osoba2,,0:01:50,110,0:01:53,113,0:00:03,3,osoba2
Moderator,,0:01:53,113,0:02:04,124,0:00:10,10,Moderator
osoba1,,0:02:04,124,0:02:07,127,0:00:03,3,osoba1
Moderator,,0:02:07,127,0:02:10,130,0:00:02,2,Moderator
osoba1,,0:02:10,130,0:02:13,133,0:00:03,3,osoba1
osoba2,,0:02:13,133,0:02:16,136,0:00:02,2,osoba2
osoba1,,0:02:16,136,0:02:18,138,0:00:01,1,osoba1
osoba2,,0:02:18,138,0:02:21,141,0:00:03,3,osoba2
Moderator,,0:02:21,141,0:02:44,164,0:00:22,22,Moderator
osoba2,,0:02:44,164,0:02:47,167,0:00:03,3,osoba2
Moderator,,0:02:47,167,0:02:59,179,0:00:11,11,Moderator
osoba2,,0:02:59,179,0:03:02,182,0:00:03,3,osoba2
osoba1,,0:03:02,182,0:03:08,188,0:00:05,5,osoba1
osoba2,,0:03:08,188,0:03:13,193,0:00:05,5,osoba2
osoba3,,0:03:13,193,0:03:20,200,0:00:07,7,osoba3
Moderator,,0:03:20,200,0:03:26,206,0:00:05,5,Moderator
osoba1,,0:03:26,206,0:03:33,213,0:00:07,7,osoba1
Moderator,,0:03:33,213,0:03:35,215,0:00:01,1,Moderator
osoba1,,0:03:35,215,0:03:37,217,0:00:02,2,osoba1
Moderator,,0:03:37,217,0:04:09,249,0:00:31,31,Moderator
osoba2,,0:04:09,249,0:04:11,251,0:00:01,1,osoba2
osoba3,,0:04:11,251,0:04:13,253,0:00:02,2,osoba3
osoba2,,0:04:13,253,0:04:21,261,0:00:08,8,osoba2
osoba3,,0:04:21,261,0:04:24,264,0:00:02,2,osoba3
osoba2,,0:04:24,264,0:04:50,290,0:00:26,26,osoba2
Moderator,,0:04:50,290,0:04:56,296,0:00:05,5,Moderator
osoba1,,0:04:56,296,0:05:15,315,0:00:18,18,osoba1
osoba3,,0:05:15,315,0:05:17,317,0:00:02,2,osoba3
osoba2,,0:05:17,317,0:05:22,322,0:00:04,4,osoba2
osoba1,,0:05:22,322,0:05:31,331,0:00:09,9,osoba1
osoba3,,0:05:31,331,0:06:13,373,0:00:41,41,osoba3
Moderator,,0:06:13,373,0:06:22,382,0:00:09,9,Moderator
osoba1,,0:06:22,382,0:06:25,385,0:00:03,3,osoba1
Moderator,,0:06:25,385,0:06:43,403,0:00:17,17,Moderator
osoba2,,0:06:43,403,0:07:39,459,0:00:56,56,osoba2
osoba1,,0:07:39,459,0:08:22,502,0:00:43,43,osoba1
osoba3,,0:08:22,502,0:08:54,534,0:00:31,31,osoba3
Moderator,,0:08:54,534,0:09:12,552,0:00:18,18,Moderator
osoba2,,0:09:12,552,0:10:09,609,0:00:56,56,osoba2
osoba3,,0:10:09,609,0:10:11,611,0:00:02,2,osoba3
osoba1,,0:10:11,611,0:11:03,663,0:00:51,51,osoba1
Moderator,,0:11:03,663,0:11:21,681,0:00:18,18,Moderator
osoba1,,0:11:21,681,0:11:26,686,0:00:04,4,osoba1
osoba2,,0:11:26,686,0:11:30,690,0:00:03,3,osoba2
osoba3,,0:11:30,690,0:11:35,695,0:00:05,5,osoba3
osoba1,,0:11:35,695,0:11:40,700,0:00:05,5,osoba1
osoba3,,0:11:40,700,0:12:34,754,0:00:53,53,osoba3
Moderator,,0:12:34,754,0:13:20,800,0:00:45,45,Moderator
osoba2,,0:13:20,800,0:13:27,807,0:00:06,6,osoba2
osoba1,,0:13:27,807,0:14:27,867,0:01:00,60,osoba1
osoba3,,0:14:27,867,0:15:12,912,0:00:45,45,osoba3
osoba2,,0:15:12,912,0:16:19,979,0:01:07,67,osoba2
Moderator,,0:16:19,979,0:16:58,1018,0:00:38,38,Moderator
osoba2,,0:16:58,1018,0:18:22,1102,0:01:24,84,osoba2
osoba1,,0:18:22,1102,0:19:36,1176,0:01:13,73,osoba1
osoba3,,0:19:36,1176,0:20:21,1221,0:00:45,45,osoba3
osoba1,,0:20:21,1221,0:20:28,1228,0:00:07,7,osoba1
osoba2,,0:20:28,1228,0:20:33,1233,0:00:04,4,osoba2
Moderator,,0:20:33,1233,0:21:06,1266,0:00:32,32,Moderator
osoba1,,0:21:06,1266,0:22:05,1325,0:00:59,59,osoba1
osoba2,,0:22:05,1325,0:22:36,1356,0:00:30,30,osoba2
osoba3,,0:22:36,1356,0:22:59,1379,0:00:23,23,osoba3
Moderator,,0:22:59,1379,0:23:04,1384,0:00:05,5,Moderator
osoba2,,0:23:04,1384,0:23:07,1387,0:00:02,2,osoba2
osoba3,,0:23:07,1387,0:23:09,1389,0:00:02,2,osoba3
Moderator,,0:23:09,1389,0:23:19,1399,0:00:09,9,Moderator
osoba2,,0:23:19,1399,0:23:21,1401,0:00:02,2,osoba2
osoba1,,0:23:21,1401,0:23:26,1406,0:00:04,4,osoba1
osoba3,,0:23:26,1406,0:23:29,1409,0:00:03,3,osoba3
osoba1,,0:23:29,1409,0:23:35,1415,0:00:05,5,osoba1
osoba3,,0:23:35,1415,0:23:36,1416,0:00:01,1,osoba3
osoba2,,0:23:36,1416,0:23:38,1418,0:00:01,1,osoba2
Moderator,,0:23:38,1418,0:23:44,1424,0:00:06,6,Moderator
