idx	fname	ts	tier	start	end	duration	talk_time	overlap	event	is_aba	aba_key	is_abcd	abcd_key	is_m43	m43_key
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:11:39	2022-11-25 11:11:41	2.0	2.0	0.0	statement	0	0	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:11:41	2022-11-25 11:11:43	2.0	2.0	0.0	statement	0	0	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:11:54	2022-11-25 11:11:55	1.0	1.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:11:57	2022-11-25 11:11:59	2.0	2.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:12:22	2022-11-25 11:12:38	16.0	10.0	6.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:12:38	2022-11-25 11:12:53	15.0	9.0	6.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:13:04	2022-11-25 11:13:13	9.0	6.0	3.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:13	2022-11-25 11:13:16	3.0	3.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:13:16	2022-11-25 11:13:18	2.0	2.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:13:18	2022-11-25 11:14:02	44.0	9.0	35.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:14:02	2022-11-25 11:14:08	6.0	6.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:14:08	2022-11-25 11:14:13	5.0	5.0	0.0	statement	1	1	0	0	0	0
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:14:13	2022-11-25 11:14:20	7.0	7.0	0.0	statement	0	2	0	0	1	1
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:14:26	2022-11-25 11:14:37	11.0	9.0	2.0	statement	0	2	0	0	1	1
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:15:09	2022-11-25 11:15:11	2.0	2.0	0.0	statement	0	2	0	0	1	1
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:15:11	2022-11-25 11:15:13	2.0	2.0	0.0	statement	0	2	0	0	1	1
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:15:13	2022-11-25 11:15:21	8.0	8.0	0.0	statement	1	3	0	0	1	1
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:15:21	2022-11-25 11:15:24	3.0	3.0	0.0	statement	1	3	0	0	0	2
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:15:24	2022-11-25 11:15:50	26.0	26.0	0.0	statement	1	3	0	0	0	2
